GeneID	SystemCode	Label	Head	Remarks	MAPPName
1423570_at	X	Abcg1			PPAR-Alpha_Targets.MAPP
1424437_s_at	X	Abcg4			PPAR-Alpha_Targets.MAPP
1449817_at	X	Abcb11			PPAR-Alpha_Targets.MAPP
1438514_at	X	Npc1l1			PPAR-Alpha_Targets.MAPP
1455011_at	X	Stard4			PPAR-Alpha_Targets.MAPP
1429239_a_at	X	Stard4			PPAR-Alpha_Targets.MAPP
1429240_at	X	Stard4			PPAR-Alpha_Targets.MAPP
1430274_a_at	X	Stard3nl			PPAR-Alpha_Targets.MAPP
1417405_at	X	Stard3 			PPAR-Alpha_Targets.MAPP
1443266_at	X	Npc2			PPAR-Alpha_Targets.MAPP
1448513_a_at	X	Npc2			PPAR-Alpha_Targets.MAPP
1443266_at	X	Npc2			PPAR-Alpha_Targets.MAPP
1455768_at	X	Npc2			PPAR-Alpha_Targets.MAPP
1423086_at	X	Npc1			PPAR-Alpha_Targets.MAPP
1448159_at	X	Rab7			PPAR-Alpha_Targets.MAPP
1415734_at	X	Rab7			PPAR-Alpha_Targets.MAPP
1448391_at	X	Rab9			PPAR-Alpha_Targets.MAPP
1449256_a_at	X	Rab11a			PPAR-Alpha_Targets.MAPP
1418413_at	X	Cav3			PPAR-Alpha_Targets.MAPP
1425955_at	X	Cav2			PPAR-Alpha_Targets.MAPP
1417327_at	X	Cav2			PPAR-Alpha_Targets.MAPP
1449145_a_at	X	Cav1			PPAR-Alpha_Targets.MAPP
1437692_x_at	X	Anxa2			PPAR-Alpha_Targets.MAPP
1460350_at	X	Osbp			PPAR-Alpha_Targets.MAPP
1438848_at	X	Osbp			PPAR-Alpha_Targets.MAPP
1460192_at	X	Osbpl1a			PPAR-Alpha_Targets.MAPP
1416823_a_at	X	Osbpl1a			PPAR-Alpha_Targets.MAPP
1451974_at	X	Osbpl2			PPAR-Alpha_Targets.MAPP
1428356_at	X	Osbp2			PPAR-Alpha_Targets.MAPP
1428355_at	X	Osbp2			PPAR-Alpha_Targets.MAPP
1451831_at	X	Osbpl6			PPAR-Alpha_Targets.MAPP
1457881_at	X	Osbpl6			PPAR-Alpha_Targets.MAPP
1438717_a_at	X	Osbpl6			PPAR-Alpha_Targets.MAPP
1456495_s_at	X	Osbpl6			PPAR-Alpha_Targets.MAPP
1449627_at	X	Osbpl6			PPAR-Alpha_Targets.MAPP
1428893_at	X	Osbpl7			PPAR-Alpha_Targets.MAPP
1450964_a_at	X	Osbpl9			PPAR-Alpha_Targets.MAPP
1423383_a_at	X	Osbpl9			PPAR-Alpha_Targets.MAPP
1424870_at	X	Osbpl10			PPAR-Alpha_Targets.MAPP
1437069_at	X	OSBPL8			PPAR-Alpha_Targets.MAPP
1457539_at	X	OSBPL8			PPAR-Alpha_Targets.MAPP
1438724_at	X	OSBPL3			PPAR-Alpha_Targets.MAPP
1428484_at	X	OSBPL3			PPAR-Alpha_Targets.MAPP
1425391_a_at	X	OSBPL5			PPAR-Alpha_Targets.MAPP
1436027_at	X	OSBPL11			PPAR-Alpha_Targets.MAPP
1455534_s_at	X	OSBPL11			PPAR-Alpha_Targets.MAPP
LABEL		Miscellanious			PPAR-Alpha_Targets.MAPP
1420657_at	X	Ucp3			PPAR-Alpha_Targets.MAPP
1420658_at	X	Ucp3			PPAR-Alpha_Targets.MAPP
1459741_x_at	X	Ucp2			PPAR-Alpha_Targets.MAPP
1459740_s_at	X	Ucp2			PPAR-Alpha_Targets.MAPP
1448188_at	X	Ucp2			PPAR-Alpha_Targets.MAPP
1449964_a_at	X	Mlycd			PPAR-Alpha_Targets.MAPP
1448700_at	X	G0s2			PPAR-Alpha_Targets.MAPP
1448318_at	X	Adfp			PPAR-Alpha_Targets.MAPP
1417273_at	X	Pdk4			PPAR-Alpha_Targets.MAPP
1417130_s_at	X	Angptl4			PPAR-Alpha_Targets.MAPP
1424485_at	X	Angptl3			PPAR-Alpha_Targets.MAPP
1424785_at	X	Angptl6			PPAR-Alpha_Targets.MAPP
1449065_at	X	Acot1			PPAR-Alpha_Targets.MAPP
		Acot6			PPAR-Alpha_Targets.MAPP
1419395_at	X	Acot12			PPAR-Alpha_Targets.MAPP
1449457_at	X	Acot12			PPAR-Alpha_Targets.MAPP
1417094_at	X	Acot7			PPAR-Alpha_Targets.MAPP
1425667_at	X	Acot11			PPAR-Alpha_Targets.MAPP
1429267_at	X	Acot11			PPAR-Alpha_Targets.MAPP
1449968_s_at	X	Acot10			PPAR-Alpha_Targets.MAPP
1456156_at	X	Lepr			PPAR-Alpha_Targets.MAPP
