genename	d4207w.CEL	d4208w.CEL	d4209w.CEL	d4210w.CEL	d4211w.CEL	d4212w.CEL	d4213w.CEL	d4214w.CEL	d4215w.CEL	d4216w.CEL	d4217w.CEL	d4218w.CEL	d4219w.CEL	d4220w.CEL	d4221w.CEL	d4222w.CEL	d4223w.CEL
AA686579_at	4.351658148	4.212446603	4.536985533	4.154278327	4.573468057	4.490136405	4.623050851	4.596590222	4.497743931	4.573264272	4.625722456	4.416895712	4.825609016	4.942331593	4.963017692	4.413834097	4.503219583
AA686743_at	2.969696529	3.110416356	2.952906468	2.986685402	3.403662362	3.068468524	3.148881726	3.134034441	3.127729235	3.111045012	3.188481353	3.12754225	3.116048764	3.352510857	3.215941189	3.026319761	3.112436984
AA686870_f_at	3.108715087	3.215019526	3.096348083	3.117424452	3.390476173	3.226274479	3.33000901	3.218804907	3.251617376	3.242354665	3.298755168	3.259883711	3.288187225	3.406875294	3.371900291	3.191087749	3.225067193
AA686870_i_at	1.907398355	1.996537718	1.907211753	1.907651301	2.061544016	1.989036594	2.019007114	1.986303763	2.039012947	2.016295292	2.05705999	2.037344865	2.028111638	2.09557054	2.069485342	1.946762664	2.020310339
AA799276_at	5.956009501	6.92119874	7.050240229	7.295402095	4.913922932	6.327219908	6.933068452	6.507057356	6.331719526	6.188913676	6.466203687	6.09948501	7.258432813	5.830506278	5.898897402	6.336955318	6.555912094
AA799336_at	8.532136231	6.974858154	8.045856164	8.149778709	7.998145695	8.039953751	8.018306491	8.020217109	8.110611764	8.019892615	7.972614577	8.055573004	8.34310554	7.703957312	7.57348612	8.071324163	8.196521972
AA799389_at	2.459145141	2.543013967	2.458431991	2.453380211	2.64930289	2.545153238	2.565200046	2.547298802	2.60231742	2.576665487	2.623903115	2.587147979	2.595511162	2.793846863	2.624796155	2.511714543	2.580828217
AA799389_g_at	2.163020657	2.256109345	2.150633937	2.145044019	2.434157065	2.237913029	2.238528468	2.230410222	2.281780178	2.257228563	2.305353102	2.280222298	2.273322021	2.507190016	2.310859024	2.200723613	2.26287194
AA801441_at	6.631054222	6.73514415	6.162203329	6.269376116	6.522818196	6.624725802	6.501660381	6.436340594	6.823057714	6.522185822	6.598786868	6.596110838	6.531505521	6.558402389	5.688387872	6.672359117	6.537475353
AA819943_at	2.677071617	2.773292934	2.647281003	2.672742619	2.998595695	2.783492924	2.906177012	2.804118848	2.845938166	2.995313781	2.886858375	2.818016697	2.851117226	2.967722317	2.934821608	2.684491775	2.817601633
AA848218_at	6.037750496	5.901934577	6.338714238	5.764303612	5.909653393	5.908145294	6.045981621	6.271738014	5.89935392	5.772003363	5.7763317	5.927731949	5.919466026	4.329889477	6.13962485	5.689401697	6.117888614
AA848268_at	3.732285716	4.027941913	4.178437328	3.648312492	3.742281773	3.670863767	3.67133444	3.621300231	3.741153867	3.656299757	3.676585226	3.819604696	3.684659556	3.686369482	3.749614301	3.505712908	3.701461766
AA848421_at	5.352556717	5.481284695	5.644809325	5.17686913	5.39951856	4.972924347	4.449835529	4.303042471	4.587009823	4.373770034	4.225048794	4.43365132	3.980685873	3.500640681	4.284866501	3.88008759	3.82938439
AA848546_at	3.400170019	3.419490018	3.54450555	3.19855247	3.442100715	3.390109732	3.554674422	3.383917002	3.440285335	3.417809027	3.44110213	3.436059482	3.405358227	3.438199153	3.463218566	3.359819404	3.434890933
AA848563_s_at	4.666064351	1.169228812	1.101940325	1.085130529	1.190719425	1.150892942	1.134440321	1.133640982	1.183729324	1.165537938	1.181402868	1.187738991	1.161172993	1.193601155	1.198939449	1.102985947	1.185399182
AA850219_at	3.73062889	3.983204408	4.011495819	3.885078853	4.127603161	3.961448957	3.974850982	3.956534554	4.008116923	4.007189752	4.048432412	3.913609673	3.983933627	4.389690983	4.159183364	3.969401547	4.223631102
AA859934_at	2.032700782	2.156358116	2.08164486	2.038776673	2.239562253	2.140962039	2.153055164	2.134295341	2.193979601	2.164956926	2.191353961	2.181503856	2.17148791	2.208484186	2.214905297	2.088768239	2.165010945
AA875509_at	3.198394589	3.265406179	3.886817264	3.212101615	3.573540272	3.302515986	3.375402459	3.298194294	3.334018024	3.287953316	3.545098529	3.270722454	3.328703681	3.396865279	3.398771255	3.182725617	3.298405162
AA933181_at	3.383311691	3.405420773	3.972305342	3.280933159	3.509108825	3.416911312	3.506938169	3.46067169	3.768403765	3.629553694	3.480942112	3.529129083	3.555926335	3.629378528	3.512427181	3.360999816	3.619645386
AA944073_at	7.766848624	7.450263962	8.124481411	8.225520225	7.983620154	7.950131321	7.877471225	7.830706028	7.863065017	7.886836656	7.952188749	7.809749144	4.536854468	8.04969966	7.8895252	7.907298662	7.886277652
AA956437_at	2.336346742	2.601441474	3.229878007	2.306539231	2.462859145	2.404510001	2.371453884	2.364833868	2.434214577	2.397682242	2.430838781	2.413690007	2.409862421	2.432345961	2.44496162	2.338647892	2.418113728
AA958273_at	3.53697148	3.709172894	3.480184056	3.512759727	3.994136055	3.636113349	3.744380828	3.702324594	3.685337882	3.685337882	3.826556809	3.628737668	3.795321266	4.044403292	3.84475143	3.571732031	3.665004494
AA958274_at	3.022428977	3.130595019	3.024265589	3.042439907	3.365277808	3.131715252	3.18216344	3.142407006	3.188254123	3.172123404	3.226099199	3.179937736	3.255063345	3.455913575	3.302670901	3.098487453	3.172863475
AB000098_at	5.259387236	4.914529515	5.53542569	5.14674227	4.852146747	5.116929944	4.897421159	4.687426007	4.601858331	4.567524666	4.859920761	4.558722199	5.172842532	4.858494016	4.206606925	4.770054585	4.620629152
AB000098_g_at	9.963831175	9.541730064	9.940468689	9.908824392	10.51222985	9.555740145	10.06148155	9.460296454	9.511750892	9.542420082	9.890959809	9.137223915	10.03800125	9.962293472	9.805395475	9.458152404	9.603816883
AB000113_at	3.494150666	3.54846913	3.397617099	3.431602222	3.718973636	3.554916724	3.66127047	3.587672862	3.601417461	3.566738569	3.694368734	3.550598871	3.700278019	3.876958456	3.939970537	3.514139748	3.567541622
AB000199_at	7.715182435	7.984535003	7.41321765	7.428843989	8.230263138	7.338039556	8.023455846	7.610019181	7.836565899	7.421121117	7.570829448	7.707982869	4.100745427	7.036419996	7.303931594	7.330848302	7.651111845
