Ensembl Gene ID	Associated Gene Name
T10E9.3	T10E9.3
Y92H12BL.2	Y92H12BL.2
Y48G8AL.9	Y48G8AL.9
T22H2.2	T22H2.2
H27M09.1	H27M09.1
C32F10.8	C32F10.8
K07G5.3	K07G5.3
F42H11.2	lem-3
T03F1.6	T03F1.6
F22D6.2	F22D6.2
W09C3.4	W09C3.4
Y39G10AR.6	ugt-31
F30A10.1	F30A10.1
F55A12.4	dhs-2
Y48G8AL.1	Y48G8AL.1
M04F3.2	M04F3.2
F08A8.3	F08A8.3
Y40B1B.8	Y40B1B.8
Y106G6D.7	Y106G6D.7
D2030.8	D2030.8
F20G4.2	F20G4.2
F21F3.1	F21F3.1
Y119C1A.1	Y119C1A.1
Y92H12BM.1	Y92H12BM.1
F33E2.4	F33E2.4
B0205.2	srz-85
Y71F9AL.14	Y71F9AL.14
F07A5.4	F07A5.4
Y71G12B.14	lsm-6
T06G6.3	T06G6.3
K07A3.3	K07A3.3
Y106G6H.13	Y106G6H.13
T05E8.1	ferl-1
F23C8.9	F23C8.9
B0207.8	B0207.8
Y54E10BR.2	Y54E10BR.2
T06D10.2	T06D10.2
F56G4.3	pes-2.2
Y51F10.11	Y51F10.11
DY3.1	tin-13
C54C8.6	lys-9
R12E2.11	R12E2.11
K07A1.13	K07A1.13
Y105E8B.2	exoc-8
C50F2.8	C50F2.8
F39H2.4	syp-3
Y105E8A.8	Y105E8A.8
F28B3.7	him-1
F16C3.2	F16C3.2
Y71G12B.31	Y71G12B.31
Y47H9C.1	Y47H9C.1
E02D9.1	E02D9.1
T10B11.3	ztf-4
F43G9.12	F43G9.12
ZC434.4	ZC434.4
C48E7.8	C48E7.8
D2030.6	prg-1
F37F2.2	F37F2.2
C44E4.1	C44E4.1
H31G24.1	H31G24.1
Y65B4BR.8	Y65B4BR.8
F15D3.3	col-66
F13G3.1	ztf-2
F52F12.7	F52F12.7
Y18H1A.2	Y18H1A.2
K12C11.5	K12C11.5
ZK1025.9	nhr-113
T02E1.7	T02E1.7
Y119C1B.5	Y119C1B.5
T19B4.2	npp-7
Y106G6H.1	Y106G6H.1
B0511.4	tag-344
T23B3.3	rmd-5
F47G4.3	gpdh-1
Y47H10A.5	Y47H10A.5
Y73E7A.4	cpx-1
K04F10.7	K04F10.7
F53G12.8	F53G12.8
F52F12.5	F52F12.5
T02E1.3	gla-3
Y47G6A.8	crn-1
F26B1.1	F26B1.1
T28B8.5	del-4
F18C12.1	che-3
F14B6.4	F14B6.4
F45H11.1	sptf-1
C46H11.10	C46H11.10
C37A5.1	C37A5.1
F27D4.2	F27D4.2
W05B5.3	nhr-85
Y87G2A.10	vps-28
F59A3.6	F59A3.6
Y54E5A.2	Y54E5A.2
F47G4.7	smd-1
F36F2.7	F36F2.7
ZK1025.10	nhr-245
C46H11.1	C46H11.1
T28B8.2	ins-18
